City,Latitude,Longitude,Windspeed
san andres,12.5847,-81.7006,20.67
yermekeyevo,54.0761,53.6712,6.93
kedrovka,55.5333,86.05,6.31
whitecourt,54.1502,-115.6855,3.51
nioro,13.35,-15.75,9.71
inverell,-29.7833,151.1167,8.77
kibaya,-5.3,36.5667,9.15
ulan-ude,51.8261,107.6098,2.21
aklavik,68.2191,-135.0107,4.0
ixtapa,20.7,-105.2,3.0
tucumcari,35.1717,-103.725,9.51
heihe,50.2441,127.4902,2.04
santa ana,33.7456,-117.8678,1.99
san policarpo,12.1791,125.5072,0.2
nyaunglebin,17.95,96.7333,5.17
tual,-5.6667,132.75,13.67
padang,-0.9492,100.3543,4.99
bathsheba,13.2167,-59.5167,17.05
conde,-7.2597,-34.9075,15.75
adre,13.4667,22.2,6.15
luau,-10.7073,22.2247,4.07
torrington,41.8007,-73.1212,1.99
yulara,-25.2406,130.9889,7.63
amapa,1.0,-52.0,3.8
isparta,38.0,31.0,15.17
sanghar,26.0466,68.9481,14.09
yangambi,0.8102,24.4336,2.13
vung tau,10.346,107.0843,8.66
half moon bay,37.4636,-122.4286,5.75
constantine,36.365,6.6147,17.58
boa vista,2.8197,-60.6733,7.4
seoul,37.5683,126.9778,1.41
wanning,18.8003,110.3967,5.14
namwala,-15.7504,26.4384,6.55
mataram,-8.5833,116.1167,8.63
wanxian,30.8039,108.3897,4.7
saltillo,25.4167,-101.0,2.77
mildura,-34.2,142.15,9.04
agnibilekrou,7.1344,-3.2047,4.18
nurota,40.5614,65.6886,10.25
sao filipe,14.8961,-24.4956,7.56
mackay,-21.15,149.2,10.78
marrakesh,31.6315,-8.0083,15.19
aksay,47.26,39.87,11.01
chara,56.9064,118.2631,2.21
jijiga,9.35,42.8,17.52
puerto maldonado,-12.6,-69.1833,3.67
san quintin,30.4833,-115.95,12.41
dingzhou,38.5131,114.9956,4.79
liuzhou,24.3126,109.3892,3.65
kiunga,-6.1219,141.2906,1.48
san ramon,37.7799,-121.978,8.01
colquiri,-17.4167,-67.1333,7.52
labrea,-7.2586,-64.7981,1.81
beloha,-25.1667,45.05,9.64
gundorovskiy,46.7805,41.8968,8.77
kamphaeng phet,16.25,99.5,7.47
mandalgovi,45.7625,106.2708,2.21
hovd,48.0056,91.6419,7.74
illapel,-31.6308,-71.1653,3.6
sheridan,44.8333,-106.9173,1.45
bonthe,7.5264,-12.505,13.0
baiyin,36.5583,104.2081,2.68
khandyga,62.6667,135.6,3.6
catende,-8.6667,-35.7167,11.23
huilong,31.8111,121.655,9.57
luderitz,-26.6481,15.1594,14.97
broome,42.2506,-75.833,10.0
bundi,25.4417,75.6417,8.95
vysotsk,60.6288,28.5705,7.65
bilma,18.6853,12.9164,8.79
pryozerne,45.2698,36.3303,8.9
redcliffe,-27.2307,153.0973,21.18
coihaique,-45.5752,-72.0662,1.36
murbad,19.25,73.4,4.7
berberati,4.2612,15.7922,0.74
bima,-8.4667,118.7167,4.52
ustrzyki dolne,49.4304,22.5938,1.48
nouakchott,18.0858,-15.9785,9.66
poya,-21.35,165.15,7.38
nadvoitsy,63.8667,34.3167,11.83
monthey,46.2555,6.9607,3.0
amersfoort,52.155,5.3875,8.19
kulhudhuffushi,6.6221,73.07,16.37
tabou,4.423,-7.3528,7.43
port-gentil,-0.7193,8.7815,16.91
kano,12.0001,8.5167,6.82
asau,46.4333,26.4,8.9
ilheus,-14.7889,-39.0494,10.18
san pedro,14.35,121.0167,6.42
la vega,19.2221,-70.5296,10.71
gouyave,12.1646,-61.7296,17.54
westfield,42.1251,-72.7495,3.0
hazorasp,41.3194,61.0742,6.26
flagstaff,35.1981,-111.6513,3.58
